Model,Feel▾,Actuation,Pre-Travel,Total Travel,Mount,
LCET Joker,Tactile,58g,2.0mm,4.0mm,PCB,
LCET Oasis,Tactile,58g,2.0mm,4.0mm,PCB,
LCET Pink Queen,Tactile,58g,2.0mm,4.0mm,PCB,
LCET Pink Sweet Heart,Tactile,58g,2.0mm,4.0mm,PCB,
MMK Frog,Tactile,54g,2.6mm,3.9mm,Plate,
MOD-SH Tactile,Tactile,70g,2.0mm,4.0mm,PCB,
MOD-H Tactile,Tactile,62g,2.0mm,4.0mm,PCB,
MOD-M Tactile,Tactile,55g,2.0mm,4.0mm,PCB,
Nightwalker Solaris,Tactile,66g,2.0mm,4.0mm,PCB,
NK Blueberry,Tactile,65g,1.8mm,3.0mm,PCB,
NK Cream Tactile,Tactile,65g,3.0mm,4.0mm,PCB,
NK Big Switch Burnt Orange,Tactile,280g,4.8mm,14.0mm,Plate,
Outemu Brown,Tactile,50g,2.0mm,4.0mm,Plate,
Outemu Dustproof Brown,Tactile,50g,2.0mm,4.0mm,Plate,
Outemu Dustproof Purple,Tactile,50g,2.0mm,4.0mm,Plate,
Outemu GAOTE Brown,Tactile,40g,2.0mm,4.0mm,Plate,
Outemu Ice Clear,Tactile,62g,2.0mm,4.0mm,PCB,
Outemu Ice Dark Purple,Tactile,68g,2.0mm,4.0mm,PCB,
Outemu Ice Grey,Tactile,75g,2.0mm,4.0mm,PCB,
Outemu Ice Light Purple,Tactile,62g,2.0mm,4.0mm,PCB,
Outemu Orange,Tactile,50g,2.0mm,4.0mm,Plate,
Outemu Panda,Tactile,50g,1.8mm,3.3mm,Plate,
Outemu Purple,Tactile,50g,2.0mm,4.0mm,PCB,
Outemu Silent Forest,Tactile,62/68g,2.0mm,4.0mm,PCB,
Outemu Silent Gray,Tactile,55g,1.6mm,4.0mm,Plate,
Outemu Silent Lemon,Tactile,35g,1.8mm,3.3mm,Plate,
Outemu Silver,Tactile,45g,2.0mm,4.0mm,Plate,
Outemu Sky,Tactile,62/68g,2.0mm,4.0mm,PCB,
Razer Orange,Tactile,45g,1.9mm,4.0mm,Plate,
Redragon A113 Bullet-F Wukong,Tactile,50g,1.8mm,3.3mm,Plate,
Redragon A113 Bullet-QT Lime,Tactile,35g,1.8mm,3.3mm,Plate,
SP Star Duck,Tactile,57g,2.0mm,4.0mm,PCB,
SP Star Polaris Grey,Tactile,67g,2.0mm,4.0mm,PCB,
SP Star Magic Girl,Tactile,67g,2.0mm,4.0mm,PCB,
SP Star Meteor Orange,Tactile,57g,2.0mm,4.0mm,PCB,
SP Star Polaris Purple,Tactile,67g,2.0mm,4.0mm,PCB,
SP Star X Kon Momo,Tactile,65g,2.0mm,4.0mm,PCB,
SteelSeries QX2 Brown,Tactile,45g,2.0mm,4.0mm,-,
Tecsee Coral,Tactile,55g,1.8mm,3.0mm,PCB,
Tecsee Mango Ice,Tactile,52g,1.9mm,3.8mm,PCB,
Tecsee Purple Panda,Tactile,55g,2.0mm,3.0mm,PCB,
Tecsee Sapphire,Tactile,52g,2.0mm,3.0mm,PCB,
Titan Tactile,Tactile,55g,1.8mm,3.6mm,Plate,
Titan Optical Tactile,Tactile,45g,1.8mm,3.6mm,Plate,
Topre,Tactile,30/35/45/55g,2.0mm,4.0mm,PCB,
TTC Bluish White,Tactile,42g,2.0mm,3.5mm,Plate,
TTC Chaotic Panda,Tactile,55g,2.0mm,4.0mm,PCB,
TTC Cyber Panda,Tactile,55g,2.0mm,4.0mm,PCB,
TTC Gold Brown,Tactile,45g,2.0mm,4.0mm,Plate,
TTC Heroic Panda,Tactile,55g,2.0mm,4.0mm,PCB,
TTC Watermelon Milkshake,Tactile,55g,2.0mm,4.0mm,Plate,
YOK Purple Trash Panda,Tactile,75g,2.0mm,4.0mm,Plate,
Zeal Zealio 62g V2,Tactile,62g,2.0mm,4.0mm,PCB,
Zeal Zealio 65g V2,Tactile,65g,2.0mm,4.0mm,PCB,
Zeal Zealio 67g V2,Tactile,67g,2.0mm,4.0mm,PCB,
Zeal Zealio 78g V2,Tactile,78g,2.0mm,4.0mm,PCB,
